"H (A_per_meter)" 	"B (tesla)"
-552000 	-0.71730000000000005
-550000 	0.0071999999999999998
-547000 	0.3261
-539000 	0.49769999999999998
-532000 	0.54579999999999995
-526000 	0.57509999999999994
-519000 	0.59640000000000004
-513000 	0.61360000000000003
-506000 	0.62829999999999997
-500000 	0.64149999999999996
-493000 	0.65369999999999995
-487000 	0.66520000000000001
-480000 	0.67610000000000003
-474000 	0.68659999999999999
-467000 	0.69679999999999997
-461000 	0.70669999999999999
-454000 	0.71640000000000004
-448000 	0.72599999999999998
-441000 	0.73550000000000004
-435000 	0.74480000000000002
-428000 	0.75409999999999999
-422000 	0.76319999999999999
-415000 	0.77229999999999999
-409000 	0.78139999999999998
-402000 	0.7903
-396000 	0.79930000000000001
-389000 	0.80820000000000003
-383000 	0.81710000000000005
-376000 	0.82589999999999997
-370000 	0.8347
-363000 	0.84350000000000003
-357000 	0.85219999999999996
-350000 	0.86099999999999999
-344000 	0.86970000000000003
-337000 	0.87839999999999996
-331000 	0.8871
-324000 	0.89580000000000004
-318000 	0.90439999999999998
-311000 	0.91310000000000002
-305000 	0.92169999999999996
-298000 	0.93030000000000002
-292000 	0.93889999999999996
-285000 	0.9476
-279000 	0.95620000000000005
-273000 	0.96479999999999999
-266000 	0.97330000000000005
-260000 	0.9819
-253000 	0.99050000000000005
-247000 	0.99909999999999999
-240000 	1.0076000000000001
-234000 	1.0162
-227000 	1.0246999999999999
-221000 	1.0333000000000001
-214000 	1.0418000000000001
-208000 	1.0504
-201000 	1.0589
-195000 	1.0673999999999999
-188000 	1.0760000000000001
-182000 	1.0845
-175000 	1.093
-169000 	1.1014999999999999
-162000 	1.1101000000000001
-156000 	1.1186
-149000 	1.1271
-143000 	1.1355999999999999
-136000 	1.1440999999999999
-130000 	1.1526000000000001
-123000 	1.1611
-117000 	1.1696
-110000 	1.1780999999999999
-104000 	1.1866000000000001
-97000 	1.1951000000000001
-91000 	1.2036
-84000 	1.2121
-78000 	1.2205999999999999
-71000 	1.2291000000000001
-65000 	1.2376
-58000 	1.2461
-52000 	1.2544999999999999
-45000 	1.2629999999999999
-39000 	1.2715000000000001
-32000 	1.28
-26000 	1.2885
-19000 	1.2969999999999999
-13000 	1.3053999999999999
-6000 	1.3139000000000001
0 	1.3224
