"H (A_per_meter)" 	"B (tesla)"
-220000 	-0.28549999999999998
-219000 	0.017600000000000001
-217000 	0.63380000000000003
-214000 	0.7571
-212000 	0.79479999999999995
-209000 	0.81620000000000004
-207000 	0.8306
-204000 	0.84150000000000003
-201000 	0.85029999999999994
-199000 	0.85780000000000001
-196000 	0.86439999999999995
-194000 	0.87039999999999995
-191000 	0.87590000000000001
-189000 	0.88100000000000001
-186000 	0.88590000000000002
-183000 	0.89049999999999996
-181000 	0.89500000000000002
-178000 	0.89939999999999998
-176000 	0.90359999999999996
-173000 	0.90769999999999995
-170000 	0.91180000000000005
-168000 	0.91579999999999995
-165000 	0.91969999999999996
-163000 	0.92359999999999998
-160000 	0.9274
-158000 	0.93120000000000003
-155000 	0.93500000000000005
-152000 	0.93869999999999998
-150000 	0.94240000000000002
-147000 	0.94610000000000005
-145000 	0.94969999999999999
-142000 	0.95340000000000003
-139000 	0.95699999999999996
-137000 	0.96060000000000001
-134000 	0.96419999999999995
-132000 	0.9677
-129000 	0.97130000000000005
-127000 	0.97489999999999999
-124000 	0.97840000000000005
-121000 	0.9819
-119000 	0.98540000000000005
-116000 	0.98899999999999999
-114000 	0.99250000000000005
-111000 	0.996
-108000 	0.99950000000000006
-106000 	1.0028999999999999
-103000 	1.0064
-101000 	1.0099
-98000 	1.0134000000000001
-96000 	1.0167999999999999
-93000 	1.0203
-90000 	1.0238
-88000 	1.0271999999999999
-85000 	1.0306999999999999
-83000 	1.0341
-80000 	1.0376000000000001
-77000 	1.0409999999999999
-75000 	1.0444
-72000 	1.0479000000000001
-70000 	1.0512999999999999
-67000 	1.0547
-65000 	1.0582
-62000 	1.0616000000000001
-59000 	1.0649999999999999
-57000 	1.0684
-54000 	1.0718000000000001
-52000 	1.0752999999999999
-49000 	1.0787
-46000 	1.0821000000000001
-44000 	1.0854999999999999
-41000 	1.0889
-39000 	1.0923
-36000 	1.0956999999999999
-34000 	1.0991
-31000 	1.1025
-28000 	1.1059000000000001
-26000 	1.1093
-23000 	1.1128
-21000 	1.1162000000000001
-18000 	1.1195999999999999
-15000 	1.1229
-13000 	1.1263000000000001
-10000 	1.1296999999999999
-8000 	1.1331
-5000 	1.1365000000000001
-3000 	1.1398999999999999
0 	1.1433
