"H (A_per_meter)" 	"B (tesla)"
-1802000 	-2.3439000000000001
-1793000 	-1.3192999999999999
-1784000 	-1.1046
-1760000 	-0.91449999999999998
-1739000 	-0.84130000000000005
-1717000 	-0.78979999999999995
-1696000 	-0.74750000000000005
-1675000 	-0.70989999999999998
-1654000 	-0.67510000000000003
-1633000 	-0.6421
-1611000 	-0.61019999999999996
-1590000 	-0.57920000000000005
-1569000 	-0.54879999999999995
-1548000 	-0.51890000000000003
-1527000 	-0.48930000000000001
-1505000 	-0.46000000000000002
-1484000 	-0.43090000000000001
-1463000 	-0.40200000000000002
-1442000 	-0.37330000000000002
-1421000 	-0.34470000000000001
-1399000 	-0.31619999999999998
-1378000 	-0.2878
-1357000 	-0.25940000000000002
-1336000 	-0.23119999999999999
-1315000 	-0.20300000000000001
-1293000 	-0.17480000000000001
-1272000 	-0.1467
-1251000 	-0.1186
-1230000 	-0.0906
-1209000 	-0.062600000000000003
-1187000 	-0.034599999999999999
-1166000 	-0.0067000000000000002
-1145000 	0.0212
-1124000 	0.049099999999999998
-1103000 	0.076999999999999999
-1081000 	0.10489999999999999
-1060000 	0.13270000000000001
-1039000 	0.1605
-1018000 	0.1883
-996000 	0.21609999999999999
-975000 	0.24390000000000001
-954000 	0.2717
-933000 	0.29949999999999999
-912000 	0.32729999999999998
-890000 	0.35499999999999998
-869000 	0.38279999999999997
-848000 	0.41049999999999998
-827000 	0.43819999999999998
-806000 	0.46589999999999998
-784000 	0.49370000000000003
-763000 	0.52139999999999997
-742000 	0.54910000000000003
-721000 	0.57679999999999998
-700000 	0.60450000000000004
-678000 	0.63219999999999998
-657000 	0.65990000000000004
-636000 	0.6875
-615000 	0.71519999999999995
-594000 	0.7429
-572000 	0.77059999999999995
-551000 	0.79820000000000002
-530000 	0.82589999999999997
-509000 	0.85360000000000003
-488000 	0.88119999999999998
-466000 	0.90890000000000004
-445000 	0.9365
-424000 	0.96419999999999995
-403000 	0.9919
-382000 	1.0195000000000001
-360000 	1.0470999999999999
-339000 	1.0748
-318000 	1.1024
-297000 	1.1301000000000001
-276000 	1.1577
-254000 	1.1853
-233000 	1.2130000000000001
-212000 	1.2405999999999999
-191000 	1.2683
-170000 	1.2959000000000001
-148000 	1.3234999999999999
-127000 	1.3511
-106000 	1.3788
-85000 	1.4064000000000001
-64000 	1.4339999999999999
-42000 	1.4616
-21000 	1.4893000000000001
0 	1.5168999999999999
