"H (A_per_meter)" 	"B (tesla)"
-138000 	-0.1789
-137000 	0.13059999999999999
-136000 	0.75880000000000003
-134000 	0.88319999999999999
-133000 	0.92030000000000001
-131000 	0.94089999999999996
-129000 	0.95430000000000004
-128000 	0.96409999999999996
-126000 	0.9718
-125000 	0.97809999999999997
-123000 	0.98350000000000004
-121000 	0.98829999999999996
-120000 	0.99250000000000005
-118000 	0.99650000000000005
-116000 	1.0001
-115000 	1.0035000000000001
-113000 	1.0067999999999999
-112000 	1.0099
-110000 	1.0128999999999999
-108000 	1.0158
-107000 	1.0185999999999999
-105000 	1.0214000000000001
-104000 	1.0241
-102000 	1.0266999999999999
-100000 	1.0293000000000001
-99000 	1.0318000000000001
-97000 	1.0343
-95000 	1.0367999999999999
-94000 	1.0392999999999999
-92000 	1.0417000000000001
-91000 	1.0441
-89000 	1.0465
-87000 	1.0488999999999999
-86000 	1.0511999999999999
-84000 	1.0536000000000001
-83000 	1.0559000000000001
-81000 	1.0582
-79000 	1.0605
-78000 	1.0628
-76000 	1.0650999999999999
-74000 	1.0672999999999999
-73000 	1.0696000000000001
-71000 	1.0718000000000001
-70000 	1.0741000000000001
-68000 	1.0763
-66000 	1.0786
-65000 	1.0808
-63000 	1.083
-61000 	1.0851999999999999
-60000 	1.0874999999999999
-58000 	1.0896999999999999
-57000 	1.0919000000000001
-55000 	1.0941000000000001
-53000 	1.0963000000000001
-52000 	1.0985
-50000 	1.1007
-49000 	1.1028
-47000 	1.105
-45000 	1.1072
-44000 	1.1093999999999999
-42000 	1.1115999999999999
-40000 	1.1136999999999999
-39000 	1.1158999999999999
-37000 	1.1181000000000001
-36000 	1.1202000000000001
-34000 	1.1224000000000001
-32000 	1.1246
-31000 	1.1267
-29000 	1.1289
-28000 	1.1311
-26000 	1.1332
-24000 	1.1354
-23000 	1.1375
-21000 	1.1396999999999999
-19000 	1.1417999999999999
-18000 	1.1439999999999999
-16000 	1.1460999999999999
-15000 	1.1483000000000001
-13000 	1.1504000000000001
-11000 	1.1526000000000001
-10000 	1.1547000000000001
-8000 	1.1569
-6000 	1.159
-5000 	1.1611
-3000 	1.1633
-2000 	1.1654
0 	1.1676
