"H (A_per_meter)" 	"B (tesla)"
-1830000 	-2.4310999999999998
-1825000 	-1.9652000000000001
-1823000 	-1.8792
-1821000 	-1.8103
-1817000 	-1.7060999999999999
-1812000 	-1.6001000000000001
-1806000 	-1.5205
-1794000 	-1.419
-1781000 	-1.3535999999999999
-1757000 	-1.2666999999999999
-1733000 	-1.2048000000000001
-1708000 	-1.1538999999999999
-1684000 	-1.1088
-1659000 	-1.0671999999999999
-1635000 	-1.0277000000000001
-1611000 	-0.98980000000000001
-1586000 	-0.95289999999999997
-1562000 	-0.91679999999999995
-1537000 	-0.88129999999999997
-1513000 	-0.84630000000000005
-1489000 	-0.81159999999999999
-1464000 	-0.77729999999999999
-1440000 	-0.74309999999999998
-1415000 	-0.70920000000000005
-1391000 	-0.6754
-1367000 	-0.64180000000000004
-1342000 	-0.60829999999999995
-1318000 	-0.57489999999999997
-1293000 	-0.54159999999999997
-1269000 	-0.50829999999999997
-1245000 	-0.47510000000000002
-1220000 	-0.442
-1196000 	-0.40899999999999997
-1171000 	-0.37590000000000001
-1147000 	-0.34300000000000003
-1123000 	-0.31
-1098000 	-0.27710000000000001
-1074000 	-0.24429999999999999
-1049000 	-0.2114
-1025000 	-0.17860000000000001
-1001000 	-0.14580000000000001
-976000 	-0.11310000000000001
-952000 	-0.080299999999999996
-927000 	-0.047600000000000003
-903000 	-0.0149
-879000 	0.0178
-854000 	0.050500000000000003
-830000 	0.083199999999999996
-805000 	0.1159
-781000 	0.14849999999999999
-757000 	0.1812
-732000 	0.21379999999999999
-708000 	0.24640000000000001
-683000 	0.27900000000000003
-659000 	0.31159999999999999
-634000 	0.34420000000000001
-610000 	0.37680000000000002
-586000 	0.40939999999999999
-561000 	0.442
-537000 	0.47449999999999998
-512000 	0.5071
-488000 	0.53959999999999997
-464000 	0.57220000000000004
-439000 	0.60470000000000002
-415000 	0.63729999999999998
-390000 	0.66979999999999995
-366000 	0.70240000000000002
-342000 	0.7349
-317000 	0.76739999999999997
-293000 	0.79990000000000006
-268000 	0.83250000000000002
-244000 	0.86499999999999999
-220000 	0.89749999999999996
-195000 	0.93000000000000005
-171000 	0.96250000000000002
-146000 	0.995
-122000 	1.0275000000000001
-98000 	1.0600000000000001
-73000 	1.0925
-49000 	1.125
-24000 	1.1575
0 	1.1899999999999999
