PM_material,B_r,mu_rec,B_knee,B_dem
N55@-40C,1.5973,1.04127,-0.21367,-1.53053
N55@20C,1.49,1.04841,0.31113,-1.4108
N55@60C,1.4185,1.05278,0.59088,-1.33701
N55@80C,1.3827,1.05617,0.70622,-1.29947
N55@100C,1.347,1.06065,0.80662,-1.26206
N55@120C,1.3112,1.06671,0.89197,-1.22404
N55@150C,1.2576,1.08498,0.98982,-1.17102
N55@180C,1.2039,1.12876,1.05294,-1.11735
N55@200C,1.1682,1.18095,1.07664,-1.08274
N55@220C,1.1324,1.3543,1.08475,-1.0904
N52M@-40C,1.549,1.03843,-0.56985,-1.49865
N52M@20C,1.445,1.04487,0.05817,-1.37805
N52M@60C,1.3756,1.04928,0.39429,-1.30023
N52M@80C,1.341,1.05277,0.53576,-1.2624
N52M@100C,1.3063,1.05577,0.66145,-1.2277
N52M@120C,1.2716,1.06487,0.76644,-1.19172
N52M@150C,1.2196,1.07631,0.895,-1.13885
N52M@180C,1.1676,1.11571,0.98008,-1.0862
N52M@200C,1.1329,1.13582,1.01921,-1.05144
N52M@220C,1.0982,1.25415,1.03566,-1.01882
N52@-40C,1.5544,1.04181,-0.2575,-1.49214
N52@20C,1.45,1.04803,0.27152,-1.3737
N52@60C,1.3804,1.05223,0.55307,-1.30093
N52@80C,1.3456,1.05555,0.66928,-1.26377
N52@100C,1.3108,1.05952,0.77099,-1.22828
N52@120C,1.276,1.06572,0.85726,-1.19221
N52@150C,1.2238,1.08337,0.95647,-1.14039
N52@180C,1.1716,1.12536,1.02112,-1.08774
N52@200C,1.1368,1.18305,1.04505,-1.05356
N52@220C,1.102,1.29789,1.05633,-1.05918
N50M@-40C,1.5169,1.03771,-0.76353,-1.47474
N50M@20C,1.415,1.04274,-0.07366,-1.35536
N50M@60C,1.3471,1.04822,0.29207,-1.27805
N50M@80C,1.3131,1.05294,0.44508,-1.23756
N50M@100C,1.2792,1.05371,0.58662,-1.20332
N50M@120C,1.2452,1.06163,0.70275,-1.16736
N50M@150C,1.1943,1.06793,0.84678,-1.11502
N50M@180C,1.1433,1.09946,0.94378,-1.06298
N50M@200C,1.1094,1.15717,0.98474,-1.03028
N50M@220C,1.0754,1.23512,1.00915,-0.99749
N50H@-40C,1.5169,1.03746,-1.01161,-1.48182
N50H@20C,1.415,1.04015,-0.28196,-1.36024
N50H@60C,1.3471,1.04622,0.10821,-1.2823
N50H@80C,1.3131,1.04811,0.27938,-1.2455
N50H@100C,1.2792,1.05169,0.43008,-1.20785
N50H@120C,1.2452,1.05387,0.56472,-1.17101
N50H@150C,1.1943,1.06056,0.73086,-1.11724
N50H@180C,1.1433,1.07946,0.85384,-1.06711
N50H@200C,1.1094,1.09971,0.91258,-1.03156
N50H@220C,1.0754,1.11979,0.95635,-0.99907
N50@-40C,1.5276,1.04013,-0.48637,-1.47345
N50@20C,1.425,1.04726,0.1412,-1.35491
N50@60C,1.3566,1.05001,0.47496,-1.28118
N50@80C,1.3224,1.05343,0.612,-1.24481
N50@100C,1.2882,1.0582,0.73213,-1.209
N50@120C,1.254,1.06683,0.83174,-1.17362
N50@150C,1.2027,1.08847,0.94778,-1.12087
N50@180C,1.1514,1.13948,1.02153,-1.06939
N50@200C,1.1172,1.2444,1.04839,-1.05929
N50@220C,1.083,1.57535,1.05934,-1.02317
Recoma_35E@150C,1.1359,1.08111,-0.44932,-1.07933
