"H (A_per_meter)" 	"B (tesla)"
-608000 	-0.79049999999999998
-607000 	-0.65390000000000004
-602000 	-0.12770000000000001
-594000 	-0.031699999999999999
-586000 	0.0020999999999999999
-579000 	0.024299999999999999
-572000 	0.041599999999999998
-565000 	0.0562
-558000 	0.069400000000000003
-551000 	0.081699999999999995
-543000 	0.093299999999999994
-536000 	0.10440000000000001
-529000 	0.1153
-522000 	0.1258
-515000 	0.13619999999999999
-508000 	0.14649999999999999
-501000 	0.15659999999999999
-493000 	0.1666
-486000 	0.17649999999999999
-479000 	0.18640000000000001
-472000 	0.19620000000000001
-465000 	0.2059
-458000 	0.21560000000000001
-450000 	0.2253
-443000 	0.2349
-436000 	0.2445
-429000 	0.25409999999999999
-422000 	0.26369999999999999
-415000 	0.2732
-408000 	0.28270000000000001
-400000 	0.2923
-393000 	0.30180000000000001
-386000 	0.31119999999999998
-379000 	0.32069999999999999
-372000 	0.33019999999999999
-365000 	0.33960000000000001
-358000 	0.34910000000000002
-350000 	0.35849999999999999
-343000 	0.3679
-336000 	0.37740000000000001
-329000 	0.38679999999999998
-322000 	0.3962
-315000 	0.40560000000000002
-307000 	0.41499999999999998
-300000 	0.4244
-293000 	0.43380000000000002
-286000 	0.44319999999999998
-279000 	0.4526
-272000 	0.46189999999999998
-265000 	0.4713
-257000 	0.48070000000000002
-250000 	0.49009999999999998
-243000 	0.49940000000000001
-236000 	0.50880000000000003
-229000 	0.51819999999999999
-222000 	0.52749999999999997
-215000 	0.53690000000000004
-207000 	0.54620000000000002
-200000 	0.55559999999999998
-193000 	0.56489999999999996
-186000 	0.57430000000000003
-179000 	0.58360000000000001
-172000 	0.59299999999999997
-164000 	0.60229999999999995
-157000 	0.61170000000000002
-150000 	0.621
-143000 	0.63039999999999996
-136000 	0.63970000000000005
-129000 	0.64900000000000002
-122000 	0.65839999999999999
-114000 	0.66769999999999996
-107000 	0.67710000000000004
-100000 	0.68640000000000001
-93000 	0.69569999999999999
-86000 	0.70509999999999995
-79000 	0.71440000000000003
-72000 	0.72370000000000001
-64000 	0.73309999999999997
-57000 	0.74239999999999995
-50000 	0.75170000000000003
-43000 	0.76100000000000001
-36000 	0.77039999999999997
-29000 	0.77969999999999995
-21000 	0.78900000000000003
-14000 	0.7984
-7000 	0.80769999999999997
0 	0.81699999999999995
