"H (A_per_meter)" 	"B (tesla)"
-3293000 	-4.2832999999999997
-3277000 	-3.4851999999999999
-3260000 	-3.3081
-3216000 	-3.1288
-3177000 	-3.0434000000000001
-3138000 	-2.9746999999999999
-3100000 	-2.9129999999999998
-3061000 	-2.8549000000000002
-3022000 	-2.7989999999999999
-2983000 	-2.7444000000000002
-2945000 	-2.6907000000000001
-2906000 	-2.6377000000000002
-2867000 	-2.5851000000000002
-2828000 	-2.5329000000000002
-2790000 	-2.4809999999999999
-2751000 	-2.4293
-2712000 	-2.3776999999999999
-2673000 	-2.3262999999999998
-2635000 	-2.2751000000000001
-2596000 	-2.2239
-2557000 	-2.1728000000000001
-2518000 	-2.1217000000000001
-2480000 	-2.0708000000000002
-2441000 	-2.0198999999999998
-2402000 	-1.9690000000000001
-2363000 	-1.9180999999999999
-2325000 	-1.8673999999999999
-2286000 	-1.8166
-2247000 	-1.7658
-2208000 	-1.7151000000000001
-2170000 	-1.6644000000000001
-2131000 	-1.6137999999999999
-2092000 	-1.5630999999999999
-2053000 	-1.5125
-2015000 	-1.4618
-1976000 	-1.4112
-1937000 	-1.3606
-1898000 	-1.3100000000000001
-1860000 	-1.2595000000000001
-1821000 	-1.2089000000000001
-1782000 	-1.1583000000000001
-1744000 	-1.1077999999999999
-1705000 	-1.0572999999999999
-1666000 	-1.0066999999999999
-1627000 	-0.95620000000000005
-1589000 	-0.90569999999999995
-1550000 	-0.85509999999999997
-1511000 	-0.80459999999999998
-1472000 	-0.75409999999999999
-1434000 	-0.7036
-1395000 	-0.65310000000000001
-1356000 	-0.60260000000000002
-1317000 	-0.55220000000000002
-1279000 	-0.50170000000000003
-1240000 	-0.45119999999999999
-1201000 	-0.4007
-1162000 	-0.35020000000000001
-1124000 	-0.29980000000000001
-1085000 	-0.24929999999999999
-1046000 	-0.1988
-1007000 	-0.1484
-969000 	-0.097900000000000001
-930000 	-0.047399999999999998
-891000 	0.0030000000000000001
-852000 	0.053499999999999999
-814000 	0.10390000000000001
-775000 	0.15440000000000001
-736000 	0.20480000000000001
-697000 	0.25530000000000003
-659000 	0.30570000000000003
-620000 	0.35620000000000002
-581000 	0.40660000000000002
-542000 	0.45710000000000001
-504000 	0.50749999999999995
-465000 	0.55789999999999995
-426000 	0.60840000000000005
-387000 	0.65880000000000005
-349000 	0.70920000000000005
-310000 	0.75970000000000004
-271000 	0.81010000000000004
-232000 	0.86050000000000004
-194000 	0.91100000000000003
-155000 	0.96140000000000003
-116000 	1.0118
-77000 	1.0623
-39000 	1.1127
0 	1.1631
