"H (A_per_meter)" 	"B (tesla)"
-1368000 	-1.7790999999999999
-1366000 	-1.4179999999999999
-1357000 	-1.036
-1336000 	-0.87219999999999998
-1320000 	-0.8226
-1303000 	-0.78659999999999997
-1287000 	-0.75629999999999997
-1271000 	-0.72909999999999997
-1255000 	-0.7036
-1239000 	-0.67930000000000001
-1223000 	-0.65559999999999996
-1207000 	-0.63249999999999995
-1191000 	-0.60980000000000001
-1175000 	-0.58740000000000003
-1159000 	-0.56520000000000004
-1143000 	-0.54320000000000002
-1126000 	-0.52129999999999999
-1110000 	-0.49959999999999999
-1094000 	-0.47789999999999999
-1078000 	-0.45629999999999998
-1062000 	-0.43480000000000002
-1046000 	-0.41339999999999999
-1030000 	-0.39200000000000002
-1014000 	-0.37059999999999998
-998000 	-0.3493
-982000 	-0.32800000000000001
-966000 	-0.30669999999999997
-949000 	-0.28549999999999998
-933000 	-0.26429999999999998
-917000 	-0.24310000000000001
-901000 	-0.22189999999999999
-885000 	-0.20069999999999999
-869000 	-0.17960000000000001
-853000 	-0.15840000000000001
-837000 	-0.13730000000000001
-821000 	-0.1162
-805000 	-0.095100000000000004
-789000 	-0.073999999999999996
-772000 	-0.052900000000000003
-756000 	-0.031899999999999998
-740000 	-0.010800000000000001
-724000 	0.0103
-708000 	0.031300000000000001
-692000 	0.052400000000000002
-676000 	0.073400000000000007
-660000 	0.094399999999999998
-644000 	0.11550000000000001
-628000 	0.13650000000000001
-612000 	0.1575
-595000 	0.17849999999999999
-579000 	0.1996
-563000 	0.22059999999999999
-547000 	0.24160000000000001
-531000 	0.2626
-515000 	0.28360000000000002
-499000 	0.30459999999999998
-483000 	0.3256
-467000 	0.34660000000000002
-451000 	0.36759999999999998
-434000 	0.3886
-418000 	0.40960000000000002
-402000 	0.43059999999999998
-386000 	0.45150000000000001
-370000 	0.47249999999999998
-354000 	0.49349999999999999
-338000 	0.51449999999999996
-322000 	0.53549999999999998
-306000 	0.55640000000000001
-290000 	0.57740000000000002
-274000 	0.59840000000000004
-257000 	0.61939999999999995
-241000 	0.64029999999999998
-225000 	0.6613
-209000 	0.68230000000000002
-193000 	0.70320000000000005
-177000 	0.72419999999999995
-161000 	0.74519999999999997
-145000 	0.7661
-129000 	0.78710000000000002
-113000 	0.80810000000000004
-97000 	0.82899999999999996
-80000 	0.84999999999999998
-64000 	0.871
-48000 	0.89190000000000003
-32000 	0.91290000000000004
-16000 	0.93379999999999996
0 	0.95479999999999998
