"H (A_per_meter)" 	"B (tesla)"
-2891000 	-3.7606000000000002
-2877000 	-2.9723000000000002
-2863000 	-2.7993000000000001
-2823000 	-2.6280999999999999
-2789000 	-2.5491999999999999
-2755000 	-2.4868000000000001
-2721000 	-2.4314
-2687000 	-2.3795000000000002
-2653000 	-2.3298000000000001
-2619000 	-2.2814000000000001
-2585000 	-2.2339000000000002
-2551000 	-2.1869999999999998
-2517000 	-2.1406000000000001
-2483000 	-2.0945999999999998
-2449000 	-2.0488
-2415000 	-2.0032999999999999
-2381000 	-1.9579
-2347000 	-1.9126000000000001
-2313000 	-1.8674999999999999
-2279000 	-1.8225
-2245000 	-1.7776000000000001
-2211000 	-1.7326999999999999
-2177000 	-1.6879
-2143000 	-1.6431
-2109000 	-1.5984
-2075000 	-1.5537000000000001
-2041000 	-1.5089999999999999
-2007000 	-1.4643999999999999
-1973000 	-1.4198
-1939000 	-1.3753
-1905000 	-1.3307
-1871000 	-1.2862
-1837000 	-1.2417
-1803000 	-1.1972
-1769000 	-1.1528
-1735000 	-1.1083000000000001
-1701000 	-1.0638000000000001
-1667000 	-1.0194000000000001
-1633000 	-0.97499999999999998
-1599000 	-0.93059999999999998
-1565000 	-0.88619999999999999
-1531000 	-0.84179999999999999
-1497000 	-0.7974
-1463000 	-0.753
-1429000 	-0.70860000000000001
-1395000 	-0.66420000000000001
-1361000 	-0.61990000000000001
-1327000 	-0.57550000000000001
-1293000 	-0.53120000000000001
-1259000 	-0.48680000000000001
-1225000 	-0.4425
-1191000 	-0.39810000000000001
-1157000 	-0.3538
-1123000 	-0.30940000000000001
-1089000 	-0.2651
-1055000 	-0.2208
-1021000 	-0.17649999999999999
-986000 	-0.1321
-952000 	-0.087800000000000003
-918000 	-0.043499999999999997
-884000 	0.00080000000000000004
-850000 	0.045100000000000001
-816000 	0.089399999999999993
-782000 	0.13370000000000001
-748000 	0.17810000000000001
-714000 	0.22239999999999999
-680000 	0.26669999999999999
-646000 	0.311
-612000 	0.3553
-578000 	0.39960000000000001
-544000 	0.44379999999999997
-510000 	0.48809999999999998
-476000 	0.53239999999999998
-442000 	0.57669999999999999
-408000 	0.621
-374000 	0.6653
-340000 	0.70960000000000001
-306000 	0.75390000000000001
-272000 	0.79820000000000002
-238000 	0.84240000000000004
-204000 	0.88670000000000004
-170000 	0.93100000000000005
-136000 	0.97529999999999994
-102000 	1.0196000000000001
-68000 	1.0638000000000001
-34000 	1.1081000000000001
0 	1.1524000000000001
