"H (A_per_meter)" 	"B (tesla)"
-1406000 	-1.8289
-1402000 	-1.2786
-1394000 	-1.0302
-1373000 	-0.8821
-1357000 	-0.8306
-1340000 	-0.79330000000000001
-1323000 	-0.7621
-1307000 	-0.73399999999999999
-1290000 	-0.70779999999999998
-1274000 	-0.68259999999999998
-1257000 	-0.6583
-1241000 	-0.63449999999999995
-1224000 	-0.61119999999999997
-1208000 	-0.58809999999999996
-1191000 	-0.56520000000000004
-1175000 	-0.54259999999999997
-1158000 	-0.52010000000000001
-1142000 	-0.49769999999999998
-1125000 	-0.47539999999999999
-1108000 	-0.45319999999999999
-1092000 	-0.43109999999999998
-1075000 	-0.40899999999999997
-1059000 	-0.38700000000000001
-1042000 	-0.36509999999999998
-1026000 	-0.34310000000000002
-1009000 	-0.32119999999999999
-993000 	-0.2994
-976000 	-0.27750000000000002
-960000 	-0.25569999999999998
-943000 	-0.2339
-926000 	-0.21210000000000001
-910000 	-0.19040000000000001
-893000 	-0.1686
-877000 	-0.1469
-860000 	-0.12520000000000001
-844000 	-0.10349999999999999
-827000 	-0.081799999999999998
-811000 	-0.060100000000000001
-794000 	-0.038399999999999997
-778000 	-0.016799999999999999
-761000 	0.0048999999999999998
-744000 	0.026499999999999999
-728000 	0.0482
-711000 	0.069800000000000001
-695000 	0.091499999999999998
-678000 	0.11310000000000001
-662000 	0.13469999999999999
-645000 	0.15629999999999999
-629000 	0.1779
-612000 	0.1996
-596000 	0.22120000000000001
-579000 	0.24279999999999999
-562000 	0.26440000000000002
-546000 	0.28599999999999998
-529000 	0.30759999999999998
-513000 	0.3291
-496000 	0.35070000000000001
-480000 	0.37230000000000002
-463000 	0.39389999999999997
-447000 	0.41549999999999998
-430000 	0.43709999999999999
-414000 	0.45860000000000001
-397000 	0.48020000000000002
-381000 	0.50180000000000002
-364000 	0.52339999999999998
-347000 	0.54490000000000005
-331000 	0.5665
-314000 	0.58809999999999996
-298000 	0.60960000000000003
-281000 	0.63119999999999998
-265000 	0.65280000000000005
-248000 	0.67430000000000001
-232000 	0.69589999999999996
-215000 	0.71740000000000004
-199000 	0.73899999999999999
-182000 	0.76049999999999995
-165000 	0.78210000000000002
-149000 	0.80369999999999997
-132000 	0.82520000000000004
-116000 	0.8468
-99000 	0.86829999999999996
-83000 	0.88990000000000002
-66000 	0.91139999999999999
-50000 	0.93300000000000005
-33000 	0.95450000000000002
-17000 	0.97609999999999997
0 	0.99760000000000004
