"H (A_per_meter)" 	"B (tesla)"
-3563000 	-4.6336000000000004
-3545000 	-3.8087
-3527000 	-3.6248999999999998
-3479000 	-3.4367999999999999
-3437000 	-3.3462999999999998
-3395000 	-3.2728000000000002
-3353000 	-3.2065999999999999
-3311000 	-3.1442000000000001
-3269000 	-3.0840000000000001
-3227000 	-3.0251000000000001
-3185000 	-2.9672000000000001
-3144000 	-2.9100000000000001
-3102000 	-2.8532000000000002
-3060000 	-2.7968000000000002
-3018000 	-2.7406999999999999
-2976000 	-2.6848000000000001
-2934000 	-2.6291000000000002
-2892000 	-2.5735999999999999
-2850000 	-2.5182000000000002
-2808000 	-2.4628000000000001
-2766000 	-2.4076
-2724000 	-2.3523999999999998
-2682000 	-2.2972999999999999
-2641000 	-2.2422
-2599000 	-2.1871999999999998
-2557000 	-2.1322999999999999
-2515000 	-2.0773000000000001
-2473000 	-2.0224000000000002
-2431000 	-1.9676
-2389000 	-1.9127000000000001
-2347000 	-1.8579000000000001
-2305000 	-1.8030999999999999
-2263000 	-1.7483
-2221000 	-1.6935
-2180000 	-1.6388
-2138000 	-1.5840000000000001
-2096000 	-1.5293000000000001
-2054000 	-1.4745999999999999
-2012000 	-1.4198999999999999
-1970000 	-1.3652
-1928000 	-1.3105
-1886000 	-1.2558
-1844000 	-1.2012
-1802000 	-1.1465000000000001
-1760000 	-1.0919000000000001
-1718000 	-1.0371999999999999
-1677000 	-0.98260000000000003
-1635000 	-0.92789999999999995
-1593000 	-0.87329999999999997
-1551000 	-0.81869999999999998
-1509000 	-0.76400000000000001
-1467000 	-0.70940000000000003
-1425000 	-0.65480000000000005
-1383000 	-0.60019999999999996
-1341000 	-0.54559999999999997
-1299000 	-0.49099999999999999
-1257000 	-0.43640000000000001
-1215000 	-0.38179999999999997
-1174000 	-0.32719999999999999
-1132000 	-0.27260000000000001
-1090000 	-0.218
-1048000 	-0.16339999999999999
-1006000 	-0.1089
-964000 	-0.054300000000000001
-922000 	0.00029999999999999997
-880000 	0.054899999999999997
-838000 	0.1094
-796000 	0.16400000000000001
-754000 	0.21859999999999999
-713000 	0.2732
-671000 	0.32769999999999999
-629000 	0.38229999999999997
-587000 	0.43690000000000001
-545000 	0.4914
-503000 	0.54600000000000004
-461000 	0.60050000000000003
-419000 	0.65510000000000002
-377000 	0.7097
-335000 	0.76419999999999999
-293000 	0.81879999999999997
-251000 	0.87329999999999997
-210000 	0.92789999999999995
-168000 	0.98240000000000005
-126000 	1.0369999999999999
-84000 	1.0914999999999999
-42000 	1.1460999999999999
0 	1.2005999999999999
