"H (A_per_meter)" 	"B (tesla)"
-1586000 	-2.0627
-1578000 	-1.0323
-1570000 	-0.8175
-1549000 	-0.63009999999999999
-1530000 	-0.56000000000000005
-1511000 	-0.51160000000000005
-1493000 	-0.47249999999999998
-1474000 	-0.43819999999999998
-1455000 	-0.40660000000000002
-1437000 	-0.37680000000000002
-1418000 	-0.3483
-1399000 	-0.32050000000000001
-1381000 	-0.29339999999999999
-1362000 	-0.26679999999999998
-1343000 	-0.24049999999999999
-1325000 	-0.2145
-1306000 	-0.18870000000000001
-1287000 	-0.16309999999999999
-1269000 	-0.13769999999999999
-1250000 	-0.1124
-1231000 	-0.0872
-1213000 	-0.062100000000000002
-1194000 	-0.036999999999999998
-1175000 	-0.0121
-1157000 	0.012800000000000001
-1138000 	0.037699999999999997
-1119000 	0.0625
-1101000 	0.0872
-1082000 	0.112
-1063000 	0.13669999999999999
-1045000 	0.1613
-1026000 	0.186
-1008000 	0.21060000000000001
-989000 	0.23519999999999999
-970000 	0.25969999999999999
-952000 	0.2843
-933000 	0.30880000000000002
-914000 	0.33329999999999999
-896000 	0.3579
-877000 	0.38240000000000002
-858000 	0.40679999999999999
-840000 	0.43130000000000002
-821000 	0.45579999999999998
-802000 	0.48020000000000002
-784000 	0.50470000000000004
-765000 	0.52910000000000001
-746000 	0.55349999999999999
-728000 	0.57799999999999996
-709000 	0.60240000000000005
-690000 	0.62680000000000002
-672000 	0.6512
-653000 	0.67559999999999998
-634000 	0.69999999999999996
-616000 	0.72440000000000004
-597000 	0.74880000000000002
-578000 	0.77310000000000001
-560000 	0.79749999999999999
-541000 	0.82189999999999996
-522000 	0.84630000000000005
-504000 	0.87060000000000004
-485000 	0.89500000000000002
-466000 	0.91930000000000001
-448000 	0.94369999999999998
-429000 	0.96799999999999997
-410000 	0.99239999999999995
-392000 	1.0166999999999999
-373000 	1.0410999999999999
-354000 	1.0653999999999999
-336000 	1.0898000000000001
-317000 	1.1141000000000001
-299000 	1.1384000000000001
-280000 	1.1628000000000001
-261000 	1.1871
-243000 	1.2114
-224000 	1.2358
-205000 	1.2601
-187000 	1.2844
-168000 	1.3087
-149000 	1.3331
-131000 	1.3573999999999999
-112000 	1.3816999999999999
-93000 	1.4059999999999999
-75000 	1.4302999999999999
-56000 	1.4547000000000001
-37000 	1.4790000000000001
-19000 	1.5033000000000001
0 	1.5276000000000001
