"H (A_per_meter)" 	"B (tesla)"
-1999000 	-2.5998000000000001
-1989000 	-1.5739000000000001
-1979000 	-1.3579000000000001
-1952000 	-1.1642999999999999
-1928000 	-1.0882000000000001
-1905000 	-1.0337000000000001
-1881000 	-0.98829999999999996
-1858000 	-0.94769999999999999
-1834000 	-0.90990000000000004
-1811000 	-0.87390000000000001
-1787000 	-0.83899999999999997
-1764000 	-0.80500000000000005
-1740000 	-0.77159999999999995
-1717000 	-0.73860000000000003
-1693000 	-0.70599999999999996
-1670000 	-0.67369999999999997
-1646000 	-0.64159999999999995
-1623000 	-0.60970000000000002
-1599000 	-0.57799999999999996
-1576000 	-0.5464
-1552000 	-0.51490000000000002
-1529000 	-0.4834
-1505000 	-0.4521
-1482000 	-0.42080000000000001
-1458000 	-0.3896
-1435000 	-0.3584
-1411000 	-0.32729999999999998
-1387000 	-0.29620000000000002
-1364000 	-0.26519999999999999
-1340000 	-0.23419999999999999
-1317000 	-0.20319999999999999
-1293000 	-0.17230000000000001
-1270000 	-0.14130000000000001
-1246000 	-0.1104
-1223000 	-0.079500000000000001
-1199000 	-0.0487
-1176000 	-0.0178
-1152000 	0.012999999999999999
-1129000 	0.043900000000000002
-1105000 	0.074700000000000003
-1082000 	0.1055
-1058000 	0.1363
-1035000 	0.16700000000000001
-1011000 	0.1978
-988000 	0.2286
-964000 	0.25929999999999997
-941000 	0.29010000000000002
-917000 	0.32079999999999997
-894000 	0.35160000000000002
-870000 	0.38229999999999997
-847000 	0.41299999999999998
-823000 	0.44369999999999998
-800000 	0.47439999999999999
-776000 	0.50509999999999999
-753000 	0.53580000000000005
-729000 	0.5665
-705000 	0.59719999999999995
-682000 	0.62790000000000001
-658000 	0.65859999999999996
-635000 	0.68930000000000002
-611000 	0.71999999999999997
-588000 	0.75070000000000003
-564000 	0.78129999999999999
-541000 	0.81200000000000006
-517000 	0.8427
-494000 	0.87329999999999997
-470000 	0.90400000000000003
-447000 	0.93469999999999998
-423000 	0.96530000000000005
-400000 	0.996
-376000 	1.0266
-353000 	1.0572999999999999
-329000 	1.0879000000000001
-306000 	1.1186
-282000 	1.1492
-259000 	1.1798999999999999
-235000 	1.2104999999999999
-212000 	1.2412000000000001
-188000 	1.2718
-165000 	1.3024
-141000 	1.3331
-118000 	1.3636999999999999
-94000 	1.3943000000000001
-71000 	1.425
-47000 	1.4556
-24000 	1.4862
0 	1.5168999999999999
