"H (A_per_meter)" 	"B (tesla)"
-357000 	-0.46460000000000001
-357000 	-0.1227
-354000 	0.45069999999999999
-349000 	0.62829999999999997
-345000 	0.66959999999999997
-340000 	0.69389999999999996
-336000 	0.71099999999999997
-332000 	0.72440000000000004
-328000 	0.73550000000000004
-324000 	0.74529999999999996
-319000 	0.75409999999999999
-315000 	0.76229999999999998
-311000 	0.77000000000000002
-307000 	0.77729999999999999
-303000 	0.78439999999999999
-298000 	0.79120000000000001
-294000 	0.79779999999999995
-290000 	0.80430000000000001
-286000 	0.81069999999999998
-282000 	0.81699999999999995
-277000 	0.82320000000000004
-273000 	0.82930000000000004
-269000 	0.83540000000000003
-265000 	0.84140000000000004
-261000 	0.84740000000000004
-256000 	0.85329999999999995
-252000 	0.85919999999999996
-248000 	0.86499999999999999
-244000 	0.87080000000000002
-240000 	0.87660000000000005
-235000 	0.88239999999999996
-231000 	0.88819999999999999
-227000 	0.89390000000000003
-223000 	0.89959999999999996
-219000 	0.90529999999999999
-214000 	0.91100000000000003
-210000 	0.91669999999999996
-206000 	0.9224
-202000 	0.92800000000000005
-198000 	0.93369999999999997
-193000 	0.93930000000000002
-189000 	0.94489999999999996
-185000 	0.95050000000000001
-181000 	0.95620000000000005
-177000 	0.96179999999999999
-172000 	0.96740000000000004
-168000 	0.97299999999999998
-164000 	0.97850000000000004
-160000 	0.98409999999999997
-156000 	0.98970000000000002
-151000 	0.99529999999999996
-147000 	1.0008999999999999
-143000 	1.0064
-139000 	1.012
-134000 	1.0175000000000001
-130000 	1.0230999999999999
-126000 	1.0286
-122000 	1.0342
-118000 	1.0397000000000001
-113000 	1.0452999999999999
-109000 	1.0508
-105000 	1.0564
-101000 	1.0619000000000001
-97000 	1.0673999999999999
-92000 	1.073
-88000 	1.0785
-84000 	1.0840000000000001
-80000 	1.0894999999999999
-76000 	1.0951
-71000 	1.1006
-67000 	1.1061000000000001
-63000 	1.1115999999999999
-59000 	1.1171
-55000 	1.1227
-50000 	1.1282000000000001
-46000 	1.1336999999999999
-42000 	1.1392
-38000 	1.1447000000000001
-34000 	1.1501999999999999
-29000 	1.1556999999999999
-25000 	1.1612
-21000 	1.1667000000000001
-17000 	1.1721999999999999
-13000 	1.1778
-8000 	1.1833
-4000 	1.1888000000000001
0 	1.1942999999999999
