"H (A_per_meter)" 	"B (tesla)"
-44000 	-0.057000000000000002
-44000 	0.12239999999999999
-43000 	0.80569999999999997
-43000 	0.91869999999999996
-42000 	0.95169999999999999
-42000 	0.96930000000000005
-41000 	0.98040000000000005
-41000 	0.98819999999999997
-40000 	0.99399999999999999
-40000 	0.99850000000000005
-39000 	1.0022
-39000 	1.0054000000000001
-38000 	1.008
-38000 	1.0104
-37000 	1.0125
-37000 	1.0144
-36000 	1.0161
-36000 	1.0177
-35000 	1.0192000000000001
-35000 	1.0206
-34000 	1.0219
-33000 	1.0232000000000001
-33000 	1.0244
-32000 	1.0255000000000001
-32000 	1.0266999999999999
-31000 	1.0277000000000001
-31000 	1.0287999999999999
-30000 	1.0298
-30000 	1.0307999999999999
-29000 	1.0318000000000001
-29000 	1.0327
-28000 	1.0336000000000001
-28000 	1.0346
-27000 	1.0355000000000001
-27000 	1.0363
-26000 	1.0371999999999999
-26000 	1.0381
-25000 	1.0388999999999999
-25000 	1.0398000000000001
-24000 	1.0406
-24000 	1.0414000000000001
-23000 	1.0422
-23000 	1.0429999999999999
-22000 	1.0438000000000001
-22000 	1.0446
-21000 	1.0454000000000001
-21000 	1.0462
-20000 	1.0469999999999999
-20000 	1.0478000000000001
-19000 	1.0485
-19000 	1.0492999999999999
-18000 	1.0501
-18000 	1.0508
-17000 	1.0516000000000001
-16000 	1.0523
-16000 	1.0530999999999999
-15000 	1.0538000000000001
-15000 	1.0546
-14000 	1.0552999999999999
-14000 	1.0561
-13000 	1.0568
-13000 	1.0575000000000001
-12000 	1.0583
-12000 	1.0589999999999999
-11000 	1.0597000000000001
-11000 	1.0604
-10000 	1.0611999999999999
-10000 	1.0619000000000001
-9000 	1.0626
-9000 	1.0632999999999999
-8000 	1.0641
-8000 	1.0648
-7000 	1.0654999999999999
-7000 	1.0662
-6000 	1.0669
-6000 	1.0676000000000001
-5000 	1.0683
-5000 	1.0690999999999999
-4000 	1.0698000000000001
-4000 	1.0705
-3000 	1.0711999999999999
-3000 	1.0719000000000001
-2000 	1.0726
-2000 	1.0732999999999999
-1000 	1.0740000000000001
-1000 	1.0747
0 	1.0753999999999999
