"H (A_per_meter)" 	"B (tesla)"
-29000 	-0.0378
-29000 	0.1459
-29000 	0.84589999999999999
-28000 	0.96150000000000002
-28000 	0.995
-28000 	1.0128999999999999
-27000 	1.024
-27000 	1.0317000000000001
-27000 	1.0374000000000001
-26000 	1.0419
-26000 	1.0454000000000001
-26000 	1.0484
-25000 	1.0508999999999999
-25000 	1.0529999999999999
-25000 	1.0548999999999999
-24000 	1.0566
-24000 	1.0582
-24000 	1.0595000000000001
-23000 	1.0608
-23000 	1.0620000000000001
-23000 	1.0631999999999999
-22000 	1.0642
-22000 	1.0651999999999999
-22000 	1.0661
-21000 	1.0669999999999999
-21000 	1.0679000000000001
-21000 	1.0687
-20000 	1.0694999999999999
-20000 	1.0703
-19000 	1.0710999999999999
-19000 	1.0718000000000001
-19000 	1.0725
-18000 	1.0731999999999999
-18000 	1.0739000000000001
-18000 	1.0745
-17000 	1.0751999999999999
-17000 	1.0758000000000001
-17000 	1.0765
-16000 	1.0770999999999999
-16000 	1.0777000000000001
-16000 	1.0783
-15000 	1.0789
-15000 	1.0794999999999999
-15000 	1.0801000000000001
-14000 	1.0806
-14000 	1.0811999999999999
-14000 	1.0818000000000001
-13000 	1.0823
-13000 	1.0829
-13000 	1.0833999999999999
-12000 	1.0840000000000001
-12000 	1.0845
-12000 	1.085
-11000 	1.0855999999999999
-11000 	1.0861000000000001
-11000 	1.0866
-10000 	1.0871999999999999
-10000 	1.0876999999999999
-10000 	1.0882000000000001
-9000 	1.0887
-9000 	1.0891999999999999
-9000 	1.0896999999999999
-8000 	1.0902000000000001
-8000 	1.0907
-8000 	1.0912999999999999
-7000 	1.0918000000000001
-7000 	1.0923
-6000 	1.0928
-6000 	1.0932999999999999
-6000 	1.0936999999999999
-5000 	1.0942000000000001
-5000 	1.0947
-5000 	1.0952
-4000 	1.0956999999999999
-4000 	1.0962000000000001
-4000 	1.0967
-3000 	1.0972
-3000 	1.0976999999999999
-3000 	1.0982000000000001
-2000 	1.0986
-2000 	1.0991
-2000 	1.0995999999999999
-1000 	1.1001000000000001
-1000 	1.1006
-1000 	1.101
0 	1.1014999999999999
0 	1.1020000000000001
