"H (A_per_meter)" 	"B (tesla)"
-1211000 	-1.6327
-1207000 	-1.1900999999999999
-1206000 	-1.1087
-1205000 	-1.0436000000000001
-1202000 	-0.94550000000000001
-1199000 	-0.84640000000000004
-1195000 	-0.77280000000000004
-1187000 	-0.68049999999999999
-1179000 	-0.62260000000000004
-1162000 	-0.54890000000000005
-1146000 	-0.49890000000000001
-1130000 	-0.45950000000000002
-1114000 	-0.42559999999999998
-1098000 	-0.39510000000000001
-1082000 	-0.36659999999999998
-1066000 	-0.33950000000000002
-1049000 	-0.3135
-1033000 	-0.28820000000000001
-1017000 	-0.26350000000000001
-1001000 	-0.23930000000000001
-985000 	-0.21529999999999999
-969000 	-0.19170000000000001
-953000 	-0.16830000000000001
-936000 	-0.14510000000000001
-920000 	-0.122
-904000 	-0.099099999999999994
-888000 	-0.076200000000000004
-872000 	-0.053499999999999999
-856000 	-0.0309
-840000 	-0.0083000000000000001
-823000 	0.014200000000000001
-807000 	0.036600000000000001
-791000 	0.058999999999999997
-775000 	0.081299999999999997
-759000 	0.1036
-743000 	0.12590000000000001
-727000 	0.14810000000000001
-710000 	0.17030000000000001
-694000 	0.1925
-678000 	0.2147
-662000 	0.23680000000000001
-646000 	0.25890000000000002
-630000 	0.28100000000000003
-614000 	0.30309999999999998
-597000 	0.3251
-581000 	0.34720000000000001
-565000 	0.36919999999999997
-549000 	0.39119999999999999
-533000 	0.41320000000000001
-517000 	0.43519999999999998
-500000 	0.4572
-484000 	0.47920000000000001
-468000 	0.50109999999999999
-452000 	0.52310000000000001
-436000 	0.54500000000000004
-420000 	0.56699999999999995
-404000 	0.58889999999999998
-387000 	0.61080000000000001
-371000 	0.63280000000000003
-355000 	0.65469999999999995
-339000 	0.67659999999999998
-323000 	0.69850000000000001
-307000 	0.72040000000000004
-291000 	0.74229999999999996
-274000 	0.76419999999999999
-258000 	0.78610000000000002
-242000 	0.80800000000000005
-226000 	0.82979999999999998
-210000 	0.85170000000000001
-194000 	0.87360000000000004
-178000 	0.89549999999999996
-161000 	0.9173
-145000 	0.93920000000000003
-129000 	0.96109999999999995
-113000 	0.9829
-97000 	1.0047999999999999
-81000 	1.0266
-65000 	1.0485
-48000 	1.0703
-32000 	1.0922000000000001
-16000 	1.1140000000000001
0 	1.1358999999999999
