"H (A_per_meter)" 	"B (tesla)"
-146000 	-0.19
-146000 	0.024899999999999999
-145000 	0.70109999999999995
-143000 	0.81950000000000001
-141000 	0.85509999999999997
-139000 	0.87480000000000002
-138000 	0.88780000000000003
-136000 	0.89739999999999998
-134000 	0.90490000000000004
-132000 	0.91120000000000001
-131000 	0.91649999999999998
-129000 	0.92130000000000001
-127000 	0.92559999999999998
-125000 	0.92949999999999999
-124000 	0.93320000000000003
-122000 	0.93669999999999998
-120000 	0.94010000000000005
-119000 	0.94330000000000003
-117000 	0.94640000000000002
-115000 	0.94930000000000003
-113000 	0.95230000000000004
-112000 	0.95509999999999995
-110000 	0.95789999999999997
-108000 	0.96060000000000001
-107000 	0.96330000000000005
-105000 	0.96599999999999997
-103000 	0.96860000000000002
-101000 	0.97119999999999995
-100000 	0.9738
-98000 	0.97629999999999995
-96000 	0.9788
-95000 	0.98129999999999995
-93000 	0.98380000000000001
-91000 	0.98629999999999995
-89000 	0.98880000000000001
-88000 	0.99119999999999997
-86000 	0.99360000000000004
-84000 	0.99609999999999999
-83000 	0.99850000000000005
-81000 	1.0008999999999999
-79000 	1.0033000000000001
-77000 	1.0056
-76000 	1.008
-74000 	1.0104
-72000 	1.0127999999999999
-70000 	1.0150999999999999
-69000 	1.0175000000000001
-67000 	1.0198
-65000 	1.0222
-64000 	1.0245
-62000 	1.0267999999999999
-60000 	1.0291999999999999
-58000 	1.0315000000000001
-57000 	1.0338000000000001
-55000 	1.0361
-53000 	1.0385
-52000 	1.0407999999999999
-50000 	1.0430999999999999
-48000 	1.0454000000000001
-46000 	1.0477000000000001
-45000 	1.05
-43000 	1.0523
-41000 	1.0546
-40000 	1.0569
-38000 	1.0591999999999999
-36000 	1.0615000000000001
-34000 	1.0638000000000001
-33000 	1.0661
-31000 	1.0684
-29000 	1.0707
-28000 	1.0729
-26000 	1.0751999999999999
-24000 	1.0774999999999999
-22000 	1.0798000000000001
-21000 	1.0821000000000001
-19000 	1.0844
-17000 	1.0866
-15000 	1.0889
-14000 	1.0911999999999999
-12000 	1.0934999999999999
-10000 	1.0956999999999999
-9000 	1.0980000000000001
-7000 	1.1003000000000001
-5000 	1.1026
-3000 	1.1048
-2000 	1.1071
0 	1.1093999999999999
