"H (A_per_meter)" 	"B (tesla)"
-538000 	-0.69989999999999997
-537000 	-0.1293
-533000 	0.3095
-525000 	0.47549999999999998
-519000 	0.5222
-513000 	0.55059999999999998
-506000 	0.57130000000000003
-500000 	0.58789999999999998
-494000 	0.60229999999999995
-487000 	0.61509999999999998
-481000 	0.627
-475000 	0.6381
-468000 	0.64870000000000005
-462000 	0.65890000000000004
-456000 	0.66890000000000005
-449000 	0.67859999999999998
-443000 	0.68799999999999994
-437000 	0.69740000000000002
-430000 	0.70660000000000001
-424000 	0.7157
-418000 	0.72470000000000001
-411000 	0.73370000000000002
-405000 	0.74250000000000005
-399000 	0.75129999999999997
-392000 	0.7601
-386000 	0.76880000000000004
-380000 	0.77749999999999997
-374000 	0.78620000000000001
-367000 	0.79479999999999995
-361000 	0.8034
-355000 	0.81189999999999996
-348000 	0.82050000000000001
-342000 	0.82899999999999996
-336000 	0.83750000000000002
-329000 	0.84599999999999997
-323000 	0.85450000000000004
-317000 	0.8629
-310000 	0.87139999999999995
-304000 	0.87980000000000003
-298000 	0.88819999999999999
-291000 	0.89659999999999995
-285000 	0.90510000000000002
-279000 	0.91349999999999998
-272000 	0.92179999999999995
-266000 	0.93020000000000003
-260000 	0.93859999999999999
-253000 	0.94699999999999995
-247000 	0.95530000000000004
-241000 	0.9637
-234000 	0.97209999999999996
-228000 	0.98040000000000005
-222000 	0.98870000000000002
-215000 	0.99709999999999999
-209000 	1.0054000000000001
-203000 	1.0138
-196000 	1.0221
-190000 	1.0304
-184000 	1.0387
-177000 	1.0469999999999999
-171000 	1.0553999999999999
-165000 	1.0637000000000001
-158000 	1.0720000000000001
-152000 	1.0803
-146000 	1.0886
-139000 	1.0969
-133000 	1.1052
-127000 	1.1134999999999999
-120000 	1.1217999999999999
-114000 	1.1301000000000001
-108000 	1.1384000000000001
-101000 	1.1467000000000001
-95000 	1.155
-89000 	1.1633
-82000 	1.1715
-76000 	1.1798
-70000 	1.1880999999999999
-63000 	1.1963999999999999
-57000 	1.2047000000000001
-51000 	1.2130000000000001
-44000 	1.2212000000000001
-38000 	1.2295
-32000 	1.2378
-25000 	1.2461
-19000 	1.2543
-13000 	1.2625999999999999
-6000 	1.2708999999999999
0 	1.2791999999999999
