"H (A_per_meter)" 	"B (tesla)"
-1424000 	-1.8526
-1417000 	-0.80530000000000002
-1410000 	-0.58799999999999997
-1391000 	-0.4007
-1374000 	-0.3322
-1357000 	-0.28589999999999999
-1341000 	-0.249
-1324000 	-0.21690000000000001
-1307000 	-0.18770000000000001
-1290000 	-0.1603
-1274000 	-0.13420000000000001
-1257000 	-0.10879999999999999
-1240000 	-0.084099999999999994
-1223000 	-0.059900000000000002
-1207000 	-0.0361
-1190000 	-0.012500000000000001
-1173000 	0.010800000000000001
-1156000 	0.034000000000000002
-1140000 	0.057000000000000002
-1123000 	0.079799999999999996
-1106000 	0.1026
-1089000 	0.12520000000000001
-1072000 	0.14779999999999999
-1056000 	0.17030000000000001
-1039000 	0.19270000000000001
-1022000 	0.21510000000000001
-1005000 	0.2374
-989000 	0.25969999999999999
-972000 	0.28199999999999997
-955000 	0.30420000000000003
-938000 	0.32640000000000002
-922000 	0.34860000000000002
-905000 	0.37069999999999997
-888000 	0.39290000000000003
-871000 	0.41499999999999998
-855000 	0.437
-838000 	0.45910000000000001
-821000 	0.48120000000000002
-804000 	0.50319999999999998
-788000 	0.5252
-771000 	0.54730000000000001
-754000 	0.56930000000000003
-737000 	0.59130000000000005
-721000 	0.61319999999999997
-704000 	0.63519999999999999
-687000 	0.65720000000000001
-670000 	0.67920000000000003
-654000 	0.70109999999999995
-637000 	0.72309999999999997
-620000 	0.745
-603000 	0.76690000000000003
-587000 	0.78890000000000005
-570000 	0.81079999999999997
-553000 	0.8327
-536000 	0.85460000000000003
-519000 	0.87649999999999995
-503000 	0.89839999999999998
-486000 	0.92030000000000001
-469000 	0.94220000000000004
-452000 	0.96409999999999996
-436000 	0.98599999999999999
-419000 	1.0079
-402000 	1.0298
-385000 	1.0517000000000001
-369000 	1.0736000000000001
-352000 	1.0953999999999999
-335000 	1.1173
-318000 	1.1392
-302000 	1.161
-285000 	1.1829000000000001
-268000 	1.2048000000000001
-251000 	1.2265999999999999
-235000 	1.2484999999999999
-218000 	1.2704
-201000 	1.2922
-184000 	1.3141
-168000 	1.3359000000000001
-151000 	1.3577999999999999
-134000 	1.3795999999999999
-117000 	1.4015
-101000 	1.4233
-84000 	1.4452
-67000 	1.4670000000000001
-50000 	1.4888999999999999
-34000 	1.5106999999999999
-17000 	1.5326
0 	1.5544
