"H (A_per_meter)" 	"B (tesla)"
-109000 	-0.14219999999999999
-109000 	0.16819999999999999
-108000 	0.7984
-107000 	0.92259999999999998
-105000 	0.95950000000000002
-104000 	0.97960000000000003
-103000 	0.99270000000000003
-102000 	1.0021
-100000 	1.0093000000000001
-99000 	1.0152000000000001
-98000 	1.0202
-96000 	1.0245
-95000 	1.0284
-94000 	1.0319
-93000 	1.0350999999999999
-91000 	1.0381
-90000 	1.0409999999999999
-89000 	1.0436000000000001
-87000 	1.0462
-86000 	1.0487
-85000 	1.0510999999999999
-84000 	1.0533999999999999
-82000 	1.0557000000000001
-81000 	1.0579000000000001
-80000 	1.0600000000000001
-78000 	1.0621
-77000 	1.0642
-76000 	1.0663
-75000 	1.0683
-73000 	1.0703
-72000 	1.0723
-71000 	1.0742
-69000 	1.0762
-68000 	1.0781000000000001
-67000 	1.0800000000000001
-66000 	1.0819000000000001
-64000 	1.0838000000000001
-63000 	1.0855999999999999
-62000 	1.0874999999999999
-60000 	1.0892999999999999
-59000 	1.0911999999999999
-58000 	1.093
-57000 	1.0948
-55000 	1.0967
-54000 	1.0985
-53000 	1.1003000000000001
-51000 	1.1021000000000001
-50000 	1.1039000000000001
-49000 	1.1056999999999999
-48000 	1.1073999999999999
-46000 	1.1092
-45000 	1.111
-44000 	1.1128
-42000 	1.1145
-41000 	1.1163000000000001
-40000 	1.1181000000000001
-39000 	1.1197999999999999
-37000 	1.1215999999999999
-36000 	1.1233
-35000 	1.1251
-33000 	1.1268
-32000 	1.1285000000000001
-31000 	1.1303000000000001
-30000 	1.1319999999999999
-28000 	1.1337999999999999
-27000 	1.1355
-26000 	1.1372
-24000 	1.139
-23000 	1.1407
-22000 	1.1424000000000001
-21000 	1.1440999999999999
-19000 	1.1458999999999999
-18000 	1.1476
-17000 	1.1493
-15000 	1.151
-14000 	1.1528
-13000 	1.1545000000000001
-12000 	1.1561999999999999
-10000 	1.1578999999999999
-9000 	1.1596
-8000 	1.1613
-6000 	1.1631
-5000 	1.1648000000000001
-4000 	1.1665000000000001
-3000 	1.1681999999999999
-1000 	1.1698999999999999
0 	1.1716
