"H (A_per_meter)" 	"B (tesla)"
-1673000 	-2.1764000000000001
-1665000 	-1.1311
-1657000 	-0.91290000000000004
-1634000 	-0.7218
-1614000 	-0.64970000000000006
-1595000 	-0.59960000000000002
-1575000 	-0.55889999999999995
-1555000 	-0.52310000000000001
-1536000 	-0.49009999999999998
-1516000 	-0.45889999999999997
-1496000 	-0.42899999999999999
-1477000 	-0.39979999999999999
-1457000 	-0.37140000000000001
-1437000 	-0.34329999999999999
-1417000 	-0.31569999999999998
-1398000 	-0.2883
-1378000 	-0.26119999999999999
-1358000 	-0.23419999999999999
-1339000 	-0.2074
-1319000 	-0.18079999999999999
-1299000 	-0.1542
-1280000 	-0.1278
-1260000 	-0.1014
-1240000 	-0.0751
-1221000 	-0.048800000000000003
-1201000 	-0.022599999999999999
-1181000 	0.0035000000000000001
-1162000 	0.029600000000000001
-1142000 	0.0557
-1122000 	0.081699999999999995
-1102000 	0.1077
-1083000 	0.13370000000000001
-1063000 	0.15970000000000001
-1043000 	0.18559999999999999
-1024000 	0.21149999999999999
-1004000 	0.2374
-984000 	0.26329999999999998
-965000 	0.28910000000000002
-945000 	0.315
-925000 	0.34079999999999999
-906000 	0.36670000000000003
-886000 	0.39250000000000002
-866000 	0.41830000000000001
-847000 	0.44409999999999999
-827000 	0.46989999999999998
-807000 	0.49559999999999998
-787000 	0.52139999999999997
-768000 	0.54720000000000002
-748000 	0.57289999999999996
-728000 	0.59870000000000001
-709000 	0.62439999999999996
-689000 	0.6502
-669000 	0.67589999999999995
-650000 	0.7016
-630000 	0.72729999999999995
-610000 	0.75309999999999999
-591000 	0.77880000000000005
-571000 	0.80449999999999999
-551000 	0.83020000000000005
-532000 	0.85589999999999999
-512000 	0.88160000000000005
-492000 	0.9073
-472000 	0.93300000000000005
-453000 	0.9587
-433000 	0.98440000000000005
-413000 	1.0101
-394000 	1.0357000000000001
-374000 	1.0613999999999999
-354000 	1.0871
-335000 	1.1128
-315000 	1.1385000000000001
-295000 	1.1640999999999999
-276000 	1.1898
-256000 	1.2155
-236000 	1.2411000000000001
-217000 	1.2667999999999999
-197000 	1.2925
-177000 	1.3181
-157000 	1.3438000000000001
-138000 	1.3694999999999999
-118000 	1.3951
-98000 	1.4208000000000001
-79000 	1.4463999999999999
-59000 	1.4721
-39000 	1.4977
-20000 	1.5234000000000001
0 	1.5489999999999999
